iter	Passed	Remaining
0	14	1184
1	40	1594
2	98	2525
3	139	2649
4	185	2777
5	231	2856
6	276	2884
7	315	2843
8	349	2756
9	381	2673
10	411	2583
11	444	2520
12	485	2499
13	514	2426
14	543	2356
15	573	2292
16	603	2235
17	641	2210
18	693	2226
19	735	2207
20	778	2186
21	824	2173
22	869	2155
23	910	2123
24	957	2105
25	998	2072
26	1034	2029
27	1075	1996
28	1120	1969
29	1170	1950
30	1220	1928
31	1272	1908
32	1322	1882
33	1373	1858
34	1424	1831
35	1469	1796
36	1514	1759
37	1554	1718
38	1589	1671
39	1626	1626
40	1664	1582
41	1709	1546
42	1740	1497
43	1771	1449
44	1801	1401
45	1831	1353
46	1861	1306
47	1907	1271
48	1938	1226
49	1971	1182
50	2006	1140
51	2038	1097
52	2074	1056
53	2105	1013
54	2139	972
55	2172	931
56	2205	889
57	2240	849
58	2273	809
59	2310	770
60	2342	729
61	2374	689
62	2420	653
63	2454	613
64	2487	574
65	2522	535
66	2554	495
67	2588	456
68	2618	417
69	2648	378
70	2681	339
71	2725	302
72	2754	264
73	2785	225
74	2814	187
75	2844	149
76	2874	111
77	2905	74
78	2937	37
79	2967	0
