iter	Passed	Remaining
0	14	1131
1	34	1360
2	55	1424
3	90	1722
4	123	1845
5	158	1953
6	197	2058
7	233	2097
8	271	2140
9	312	2189
10	346	2173
11	382	2170
12	417	2152
13	453	2136
14	487	2110
15	519	2078
16	555	2059
17	588	2025
18	620	1992
19	656	1970
20	694	1952
21	730	1925
22	767	1900
23	803	1875
24	839	1847
25	874	1816
26	940	1846
27	986	1832
28	1027	1807
29	1077	1795
30	1129	1785
31	1173	1760
32	1221	1739
33	1264	1710
34	1305	1678
35	1349	1649
36	1389	1614
37	1425	1576
38	1478	1553
39	1537	1537
40	1582	1505
41	1634	1479
42	1684	1449
43	1737	1421
44	1782	1386
45	1832	1354
46	1883	1322
47	1940	1293
48	1999	1265
49	2043	1226
50	2101	1194
51	2142	1153
52	2190	1115
53	2228	1073
54	2267	1030
55	2306	988
56	2346	946
57	2394	908
58	2434	866
59	2477	825
60	2512	782
61	2551	740
62	2593	699
63	2634	658
64	2673	617
65	2710	575
66	2753	534
67	2793	492
68	2838	452
69	2879	411
70	2928	371
71	2969	329
72	3014	289
73	3055	247
74	3120	208
75	3154	166
76	3195	124
77	3234	82
78	3272	41
79	3309	0
