iter	Passed	Remaining
0	14	1174
1	38	1497
2	79	2037
3	112	2133
4	171	2567
5	212	2617
6	246	2573
7	280	2520
8	315	2488
9	351	2460
10	386	2421
11	417	2368
12	448	2309
13	478	2257
14	511	2217
15	543	2174
16	575	2131
17	609	2100
18	641	2058
19	673	2021
20	705	1981
21	736	1942
22	773	1917
23	805	1880
24	837	1841
25	869	1805
26	901	1770
27	936	1739
28	998	1755
29	1037	1729
30	1073	1697
31	1110	1666
32	1160	1652
33	1198	1621
34	1238	1592
35	1277	1561
36	1313	1526
37	1351	1493
38	1398	1469
39	1452	1452
40	1505	1431
41	1559	1410
42	1612	1387
43	1661	1359
44	1711	1330
45	1761	1302
46	1819	1277
47	1868	1245
48	1915	1211
49	1951	1170
50	1987	1130
51	2036	1096
52	2071	1055
53	2104	1013
54	2140	972
55	2174	931
56	2211	892
57	2261	857
58	2296	817
59	2329	776
60	2364	736
61	2394	695
62	2425	654
63	2458	614
64	2504	577
65	2534	537
66	2565	497
67	2600	458
68	2634	419
69	2666	380
70	2697	341
71	2732	303
72	2765	265
73	2799	226
74	2842	189
75	2873	151
76	2904	113
77	2935	75
78	2966	37
79	2998	0
