iter	Logloss
0	0.5199588875
1	0.4722536338
2	0.4254468899
3	0.3980004424
4	0.3712745265
5	0.3297132195
6	0.303888855777	0.287817449888	0.277244586999	0.2607417521110	0.2395225791111	0.2311344091112	0.2110432311313	0.2008921811414	0.189896061515	0.1831666541616	0.1628501881717	0.1506210018	18	0.1366882019	19	0.1268715220	20	0.1092058921	21	0.1053288022	22	0.0970639323	023	0.09022805611
