iter	Passed	Remaining
0	2	61
1	3	49
2	4	43
3	6	40
4	7	37
5	9	36
6	10	33
7	11	31
8	12	29
9	14	29
10	16	28
11	18	27
12	19	25
13	20	23
14	22	22
15	23	20
16	25	19
17	26	17
18	27	15
19	28	14
20	36	15
21	37	13
22	39	11
23	40	10
24	41	8
25	42	6
26	44	4
27	45	3
28	47	1
29	49	0
