iter	Logloss
0	0.5890075764
1	0.5302439671
2	0.4947834225
3	0.465305663
4	0.4507677588
5	0.4432944021
6	0.4232460405
7	0.4141653866
8	0.4048595053
9	0.3902961491
10	0.3788745954
11	0.372647068
12	0.3633448551
13	0.3584029371
14	0.3520350744
15	0.3449342757
16	0.3385403034
17	0.3311807818
18	0.3280686003
19	0.3219308745
20	0.317662259
21	0.3139025317
22	0.3083017639
23	0.3035052093
24	0.3031011673
25	0.2990539353
26	0.2940578374
27	0.292511238
28	0.2885454127
29	0.2770598458
