iter	Logloss
0	0.3058190926
1	0.2356205942
2	0.2014930861
3	0.1902379752
4	0.1857318714
5	0.183304836
6	0.1819251725
7	0.1798213883
8	0.1784952835
9	0.175947013
10	0.1743510115
11	0.1741250889
12	0.1730322467
13	0.1724668609
14	0.1720561509
15	0.1716932629
16	0.1712975645
17	0.1708170024
18	0.170519819
19	0.1700641323
20	0.1692812228
21	0.1685927688
22	0.1684472686
23	0.1677644816
24	0.1672046099
25	0.1664416925
26	0.1662729104
27	0.1655369461
28	0.1650095286
29	0.1641879967
30	0.1629904907
31	0.1624615673
32	0.1616283752
33	0.1610955865
34	0.1608656277
35	0.1605253142
36	0.1604129033
37	0.1598561021
38	0.1598123505
39	0.1591603157
40	0.1585226242
41	0.157826769
42	0.157564067
43	0.1568177795
44	0.1567431052
45	0.1560365027
46	0.155758804
47	0.1553777186
48	0.1552605375
49	0.154794888
50	0.1547747402
51	0.1544282397
52	0.1540913422
53	0.1533139727
54	0.152902906
55	0.1528434789
56	0.1525996792
57	0.1523325772
58	0.1518892091
59	0.1515543901
60	0.1513855499
61	0.1511229007
62	0.1507575735
63	0.1505021482
64	0.1502025991
65	0.1487248374
66	0.1486110663
67	0.1481804127
68	0.1478788301
69	0.1471975536
70	0.1467461027
71	0.146399161
72	0.1461904148
73	0.1457981778
74	0.1453227558
75	0.1450543923
76	0.1445512361
77	0.1440418592
78	0.1434852067
79	0.1434850715
