iter	Passed	Remaining
0	14	1163
1	34	1352
2	67	1720
3	99	1890
4	121	1817
5	152	1880
6	183	1917
7	214	1928
8	243	1919
9	274	1920
10	303	1904
11	332	1885
12	362	1869
13	397	1875
14	426	1846
15	455	1820
16	484	1796
17	515	1774
18	543	1746
19	573	1719
20	602	1693
21	639	1685
22	678	1680
23	728	1700
24	768	1691
25	807	1676
26	844	1657
27	882	1638
28	922	1622
29	963	1606
30	1007	1592
31	1051	1577
32	1089	1552
33	1133	1533
34	1177	1513
35	1223	1495
36	1269	1475
37	1313	1452
38	1351	1420
39	1392	1392
40	1440	1369
41	1481	1340
42	1525	1312
43	1566	1281
44	1612	1254
45	1651	1220
46	1684	1182
47	1714	1143
48	1760	1113
49	1795	1077
50	1828	1039
51	1861	1002
52	1894	965
53	1933	930
54	1967	894
55	2007	860
56	2038	822
57	2068	784
58	2098	747
59	2130	710
60	2160	672
61	2194	637
62	2226	600
63	2262	565
64	2293	529
65	2325	493
66	2355	457
67	2387	421
68	2420	385
69	2452	350
70	2482	314
71	2512	279
72	2544	243
73	2576	208
74	2607	173
75	2642	139
76	2673	104
77	2703	69
78	2736	34
79	2780	0
